,ref,creatorUrl,totalBytes,url,downloadCount,title,viewCount,voteCount,tags,size
313,jackdaoud/marketing-data,jackdaoud,658411,https://www.kaggle.com/datasets/jackdaoud/marketing-data,29170,Marketing Analytics,253138,449,"[business, marketing, exploratory data analysis, statistical analysis, regression]",643KB
1384,uciml/caravan-insurance-challenge,kinguistics,272660,https://www.kaggle.com/datasets/uciml/caravan-insurance-challenge,8531,Caravan Insurance Challenge,102839,149,"[religion and belief systems, business, finance, automobiles and vehicles, insurance]",266KB
432,arashnic/hr-analytics-job-change-of-data-scientists,arashnic,301600,https://www.kaggle.com/datasets/arashnic/hr-analytics-job-change-of-data-scientists,45967,HR Analytics: Job Change of Data Scientists,369945,1235,"[business, education, intermediate, tabular, binary classification]",295KB
661,rsrishav/youtube-trending-video-dataset,rsrishav,1324542620,https://www.kaggle.com/datasets/rsrishav/youtube-trending-video-dataset,19190,YouTube Trending Video Dataset (updated daily),187321,439,"[arts and entertainment, history, internet, data analytics, video]",1GB
571,dipam7/student-grade-prediction,dipam7,7328,https://www.kaggle.com/datasets/dipam7/student-grade-prediction,25947,Student Grade Prediction,220634,331,"[earth and nature, education, automobiles and vehicles, beginner, exploratory data analysis, data visualization, linear regression, primary and secondary schools]",7KB
130,uciml/sms-spam-collection-dataset,ekim01,215934,https://www.kaggle.com/datasets/uciml/sms-spam-collection-dataset,134772,SMS Spam Collection Dataset,631009,1179,"[languages, linguistics, email and messaging]",211KB
624,primaryobjects/voicegender,primaryobjects,415156,https://www.kaggle.com/datasets/primaryobjects/voicegender,34840,Gender Recognition by Voice,324208,769,"[arts and entertainment, earth and nature, gender, linguistics]",405KB
1908,smid80/coronavirus-covid19-tweets,smid80,2029,https://www.kaggle.com/datasets/smid80/coronavirus-covid19-tweets,6981,Coronavirus (covid19) Tweets,82742,169,"[diseases, internet, nlp, email and messaging, online communities]",2KB
300,yasserh/wine-quality-dataset,yasserh,21984,https://www.kaggle.com/datasets/yasserh/wine-quality-dataset,25920,Wine Quality Dataset,167035,504,"[alcohol, earth and nature, beginner, classification, tabular, food]",21KB
146,arshid/iris-flower-dataset,arshid,1010,https://www.kaggle.com/datasets/arshid/iris-flower-dataset,93148,Iris Flower Dataset,413041,626,"[earth and nature, biology, multiclass classification]",1010B
1289,xvivancos/star-wars-movie-scripts,xvivancos,161415,https://www.kaggle.com/datasets/xvivancos/star-wars-movie-scripts,6778,Star Wars Movie Scripts,67406,147,"[popular culture, arts and entertainment, movies and tv shows, business, beginner, text mining, data visualization]",158KB
252,rhuebner/human-resources-data-set,rhuebner,17041,https://www.kaggle.com/datasets/rhuebner/human-resources-data-set,67053,Human Resources Data Set,484722,887,"[employment, business]",17KB
471,mathurinache/world-happiness-report,mathurinache,69046,https://www.kaggle.com/datasets/mathurinache/world-happiness-report,36105,World Happiness Report up to 2022,173604,435,"[popular culture, religion and belief systems]",67KB
